min E,p/e,len E,,
,,,,
4.8227903,0.073907567,95,"(800, 900)",3.405144493
,,,,
4.811625506,0.095675642,82,"(800, 800)",1.954435515
,,,,
4.801701906,0.071311054,99,"(800, 900)",2.971330279
,,,,
4.79156151,0.092715908,79,"(800, 800)",3.118666366
,,,,
4.78226834,0.06910504,94,"(800, 900)",1.995560821
,,,,
4.77396534,0.101902846,80,"(800, 800)",3.522406431
,,,,
4.76587167,0.075952449,94,"(800, 900)",3.537262383
,,,,
4.755165277,0.101902846,77,"(800, 800)",2.035034835
,,,,
4.746197992,0.074409129,94,"(800, 900)",3.384350367
,,,,
4.737847898,0.099832225,80,"(800, 800)",0.961246811
,,,,
4.729392998,0.07528143,95,"(800, 900)",2.466600082
,,,,
4.719913701,0.101002563,80,"(800, 800)",1.885412584
,,,,
4.710803101,0.073379824,93,"(800, 900)",3.70669587
,,,,
4.700176708,0.098451241,78,"(800, 800)",3.471345516
,,,,
4.690115938,0.073379824,95,"(800, 900)",1.108086243
,,,,
4.680195038,0.102060812,78,"(800, 800)",2.043720331
,,,,
4.670412053,0.076070188,95,"(800, 900)",2.544497789
,,,,
4.660077056,0.096445339,81,"(800, 800)",1.921658659
,,,,
4.650190756,0.071884741,93,"(800, 900)",3.392679138
,,,,
4.640417363,0.096970968,76,"(800, 800)",2.735687504
,,,,
4.630871678,0.072276514,95,"(800, 900)",1.637028402
,,,,
4.623920078,0.096970968,81,"(800, 800)",4.040701418
,,,,
4.613730723,0.075057889,95,"(800, 900)",1.505190005
,,,,
4.603812523,0.100702645,81,"(800, 800)",2.303038744
,,,,
4.593637638,0.073842722,95,"(800, 900)",2.939533479
,,,,
4.585312442,0.099072296,80,"(800, 800)",2.113679368
,,,,
4.577227357,0.075669383,97,"(800, 900)",2.440851154
,,,,
4.56723886,0.101523065,79,"(800, 800)",1.802043357
,,,,
4.55816556,0.075669383,94,"(800, 900)",3.393870885
,,,,
4.548621367,0.098839269,83,"(800, 800)",3.374594359
,,,,
4.539024397,0.073669037,98,"(800, 900)",2.445394958
,,,,
4.5300062,0.096554988,83,"(800, 800)",0.942933899
,,,,
4.5212794,0.071966467,93,"(800, 900)",2.884917896
,,,,
4.511874703,0.097844077,82,"(800, 800)",1.87966081
,,,,
4.503729003,0.072927279,95,"(800, 900)",4.454143949
,,,,
4.493429613,0.097844077,83,"(800, 800)",2.573396959
,,,,
4.483729328,0.073519122,96,"(800, 900)",1.747610792
,,,,
4.475815528,0.098638133,81,"(800, 800)",2.771575279
,,,,
4.468119643,0.071584159,96,"(800, 900)",3.591172383
,,,,
4.45826625,0.096042059,80,"(800, 800)",1.34057108
,,,,
4.44896105,0.075786245,95,"(800, 900)",3.344729759
,,,,
4.439611456,0.101679855,77,"(800, 800)",2.631970991
,,,,
4.430873371,0.075786245,93,"(800, 900)",2.094069905
,,,,
4.420970275,0.099328873,79,"(800, 800)",1.755938052
,,,,
4.412131575,0.07403396,92,"(800, 900)",2.617977517
,,,,
4.404115578,0.099746503,79,"(800, 800)",2.333211922
,,,,
4.393911493,0.074345236,96,"(800, 900)",3.746897466
,,,,
4.383631599,0.097062704,79,"(800, 800)",1.885417526
,,,,
4.374320999,0.072344889,93,"(800, 900)",4.388922146
,,,,
4.363595109,0.097062704,81,"(800, 800)",2.100152356
,,,,
4.354121324,0.071518914,96,"(800, 900)",2.398392357
,,,,
4.345300428,0.095954521,81,"(800, 800)",1.473872644
,,,,
4.336579028,0.075412569,96,"(800, 900)",4.140986305
,,,,
4.325392037,0.101178508,77,"(800, 800)",0.935749503
,,,,
4.317432837,0.070333263,95,"(800, 900)",4.377915222
,,,,
4.306821547,0.094363773,77,"(800, 800)",0.667625269
,,,,
4.288769346,0.070333263,90,"(800, 900)",2.225121815
,,,,
4.256195839,0.104191529,78,"(800, 800)",0.847669731
,,,,
4.229254159,0.0776583,94,"(800, 900)",2.741621007
,,,,
4.198288279,0.098396123,78,"(800, 800)",2.104081338
,,,,
4.167304192,0.073338741,94,"(800, 900)",4.036148926
,,,,
4.132191714,0.099703697,80,"(800, 800)",2.033788726
,,,,
4.098986911,0.074313331,93,"(800, 900)",2.31221652
,,,,
4.066811584,0.099703697,82,"(800, 800)",1.665983045
,,,,
4.036104832,0.072344889,97,"(800, 900)",1.377815703
,,,,
4.003782088,0.097062704,83,"(800, 800)",2.948618327
,,,,
3.974239085,0.065194645,97,"(800, 900)",2.423506747
,,,,
3.942192121,0.085821607,76,"(800, 800)",3.568858644
,,,,
2.9969905,0.637967176,9,"(500, 500)",57.95571974
,,,,
2.976259647,0.581497172,21,"(500, 400)",14.17182983
,,,,
4.012509977,0.079075055,81,"(800, 800)",14.43024961
,,,,
4.685125014,0.610657739,21,"(500, 400)",304.0951211
,,,,
4.065960381,0.096909132,80,"(800, 800)",13.93387429
,,,,
4.017830262,0.072682401,94,"(800, 900)",3.103708424
,,,,
4.008056868,0.096403017,77,"(800, 800)",3.295571358
,,,,
3.997569598,0.064804492,93,"(800, 900)",2.990976407
,,,,
3.988935202,0.095231627,77,"(800, 800)",2.309626265
,,,,
2.994388974,0.223761946,56,"(300, 300)",1489.122836
,,,,
2.772430528,0.485492404,15,"(500, 400)",2587.598529
,,,,
3.513926259,0.097235937,82,"(800, 800)",118.8473707
,,,,
3.004976146,0.762155975,11,"(500, 500)",205.7040167
,,,,
4.018137036,0.096165894,82,"(800, 800)",5.70246668
,,,,
2.973510834,0.771718428,8,"(500, 500)",44.65599695
,,,,
3.99841487,0.095744075,81,"(800, 800)",9.916358757
,,,,
4.013011528,0.795293191,8,"(500, 500)",39551.52639
,,,,
4.701437664,0.101122826,79,"(800, 800)",42.90825282
,,,,
2.986572961,0.291567252,9,"(500, 500)",4585.360032
,,,,
5.463965937,0.097792004,83,"(800, 800)",70.62814269
,,,,
5.438272347,0.071920773,94,"(800, 900)",3.917017771
,,,,
5.431795636,0.097718249,80,"(800, 800)",2.612639398
,,,,
5.426035566,0.072833494,100,"(800, 900)",4.946150197
,,,,
5.419426766,0.097718249,85,"(800, 800)",1.042520636
,,,,
5.413914138,0.070856256,94,"(800, 900)",2.170460683
,,,,
5.408804907,0.095065455,81,"(800, 800)",2.496494542
,,,,
5.403871381,0.073914093,94,"(800, 900)",3.356858742
,,,,
5.883187683,0.099168052,82,"(800, 800)",1.405552257
,,,,
5.391097709,0.07263404,93,"(800, 900)",2.727595989
,,,,
5.384875297,0.097450649,81,"(800, 800)",3.099117999
,,,,
5.378416725,0.07263404,93,"(800, 900)",2.44562155
,,,,
5.371576617,0.094355845,76,"(800, 800)",1.761440037
,,,,
5.366515049,0.070327354,93,"(800, 900)",2.882760732
,,,,
5.360950334,0.098763927,76,"(800, 800)",2.815749282
,,,,
5.35502584,0.073612881,95,"(800, 900)",3.413498253
,,,,
5.34933346,0.098166262,81,"(800, 800)",2.308407041
,,,,
5.343120118,0.073167417,94,"(800, 900)",2.053469306
,,,,
5.337759826,0.100124491,83,"(800, 800)",2.078836166
,,,,
5.330768788,0.074626967,92,"(800, 900)",3.610936903
,,,,
5.323592169,0.100124491,78,"(800, 800)",1.235907077
,,,,
5.318075117,0.07217644,92,"(800, 900)",2.197165201
,,,,
5.312552613,0.096836702,82,"(800, 800)",3.550620159
,,,,
5.306636161,0.07472543,96,"(800, 900)",2.776670949
,,,,
5.684843251,0.100256596,77,"(800, 800)",2.248509567
,,,,
5.295473587,0.071958561,93,"(800, 900)",2.346934594
,,,,
5.289331176,0.09654438,84,"(800, 800)",2.29192581
,,,,
5.28258235,0.071958561,97,"(800, 900)",2.825095369
,,,,
5.27607109,0.096718083,77,"(800, 800)",2.748558813
,,,,
5.270437656,0.072088028,93,"(800, 900)",4.374036916
,,,,
5.264199916,0.096554988,77,"(800, 800)",0.700216435
,,,,
5.25967162,0.071966467,92,"(800, 900)",0.996907422
,,,,
5.254358992,0.097257461,81,"(800, 800)",2.50429516
,,,,
5.248558922,0.072490049,96,"(800, 900)",3.638745089
,,,,
5.243026543,0.097257461,81,"(800, 800)",2.312128685
,,,,
5.236817625,0.07130329,96,"(800, 900)",2.737035081
,,,,
5.229730881,0.095665226,81,"(800, 800)",2.602028018
,,,,
5.224264083,0.073206527,94,"(800, 900)",4.317728151
,,,,
5.21790192,0.098218735,77,"(800, 800)",0.087703576
,,,,
5.212342656,0.07269678,91,"(800, 900)",1.646613923
,,,,
5.207114452,0.097534824,79,"(800, 800)",2.303027602
,,,,
5.200407838,0.07269678,92,"(800, 900)",3.122128228
,,,,
5.193728914,0.099854914,79,"(800, 800)",1.822501346
,,,,
5.187805226,0.074426039,92,"(800, 900)",4.256175293
,,,,
5.182225183,0.101390149,80,"(800, 800)",1.070661378
,,,,
5.176174859,0.075570315,94,"(800, 900)",2.748174997
,,,,
5.170321295,0.096253818,79,"(800, 800)",2.246564776
,,,,
5.164150165,0.071741992,97,"(800, 900)",2.115253315
,,,,
5.158461025,0.096253818,84,"(800, 800)",3.256845229
,,,,
5.152089089,0.072230425,94,"(800, 900)",2.10653376
,,,,
5.146362162,0.096909132,78,"(800, 800)",2.859463769
,,,,
5.140111032,0.074400677,94,"(800, 900)",1.976411543
,,,,
5.133196376,0.099820885,82,"(800, 800)",3.631307813
,,,,
5.12641338,0.071258434,95,"(800, 900)",2.1064033
,,,,
5.1210953,0.095605044,77,"(800, 800)",2.301447404
,,,,
5.114266474,0.071258434,95,"(800, 900)",1.605446891
,,,,
5.10801615,0.098512658,81,"(800, 800)",4.330233282
,,,,
5.102881012,0.073425601,92,"(800, 900)",1.672543112
,,,,
5.0968329,0.098881336,81,"(800, 800)",1.848951755
,,,,
5.091073636,0.073700391,91,"(800, 900)",2.624589189
,,,,
5.084277952,0.096584516,80,"(800, 800)",1.983391426
,,,,
5.079054172,0.071988475,98,"(800, 900)",6.20638167
,,,,
5.072596681,0.096584516,87,"(800, 800)",1.031172756
,,,,
5.066464145,0.072034256,91,"(800, 900)",2.836405073
,,,,
5.059830673,0.096645939,81,"(800, 800)",2.269205255
,,,,
5.053872815,0.074749159,91,"(800, 900)",2.723220369
,,,,
5.047852616,0.100288432,77,"(800, 800)",2.26529962
,,,,
5.040694942,0.080110418,93,"(800, 900)",3.098243605
,,,,
5.033889382,0.107481454,79,"(800, 800)",1.850530367
,,,,
5.02829233,0.080110418,94,"(800, 900)",3.495157659
,,,,
5.021775619,0.098976724,75,"(800, 800)",1.62711323
,,,,
5.016594051,0.073771488,94,"(800, 900)",2.580737754
,,,,
5.010698275,0.095526424,75,"(800, 800)",3.420671043
,,,,
5.004570763,0.071199835,96,"(800, 900)",1.919308489
,,,,
4.997867167,0.095833503,83,"(800, 800)",1.550783493
,,,,
4.991034723,0.071428714,97,"(800, 900)",3.803894284
,,,,
4.984398011,0.098020113,84,"(800, 800)",2.239709185
,,,,
4.978271305,0.073058486,97,"(800, 900)",3.133509912
,,,,
4.971423534,0.098020113,84,"(800, 800)",2.145304297
,,,,
4.965541252,0.072080095,97,"(800, 900)",2.756090433
,,,,
4.959605476,0.096707439,79,"(800, 800)",1.888402713
,,,,
4.953268516,0.072088028,97,"(800, 900)",5.105111657
,,,,
4.947436385,0.096718083,83,"(800, 800)",0.129465731
,,,,
4.941717121,0.072474007,93,"(800, 900)",2.174890871
,,,,
4.935574709,0.097235937,79,"(800, 800)",1.638488565
,,,,
4.927323897,0.072474007,95,"(800, 900)",3.317847214
,,,,
4.916080234,0.095338532,79,"(800, 800)",1.311709537
,,,,
4.904651774,0.071059792,95,"(800, 900)",2.48193165
,,,,
4.892873321,0.097453,79,"(800, 800)",4.223319185
,,,,
4.879413936,0.072635793,93,"(800, 900)",1.142971692
,,,,
4.867838012,0.102411415,79,"(800, 800)",0.763630598
,,,,
4.85670448,0.076331507,91,"(800, 900)",4.095654826
,,,,
4.844226039,0.102411415,80,"(800, 800)",0.27686744
,,,,
4.831986527,0.069693909,91,"(800, 900)",2.444393707
,,,,
4.82079793,0.093505974,78,"(800, 800)",2.860099471
,,,,
4.808520454,0.074474974,96,"(800, 900)",2.039454312
,,,,
4.796742,0.099920567,83,"(800, 800)",2.087316605
,,,,
4.783063616,0.074474974,94,"(800, 900)",3.725095108
,,,,
4.769460529,0.094114206,79,"(800, 800)",1.154630782
,,,,
4.758179533,0.07014725,95,"(800, 900)",2.197111284
,,,,
4.746327348,0.096063056,79,"(800, 800)",3.086479806
,,,,
4.732021143,0.07159981,95,"(800, 900)",1.993881023
,,,,
4.720002827,0.099317647,82,"(800, 800)",3.182515148
,,,,
4.705696622,0.074025592,93,"(800, 900)",3.341359146
,,,,
4.692019803,0.098260275,83,"(800, 800)",1.117087142
,,,,
4.678821775,0.073237488,96,"(800, 900)",2.056581513
,,,,
4.666527198,0.098260275,82,"(800, 800)",1.974166759
,,,,
4.653255438,0.072765952,96,"(800, 900)",4.097472232
,,,,
4.639965946,0.097627631,83,"(800, 800)",2.333901206
,,,,
4.628794449,0.074880311,98,"(800, 900)",3.296838202
,,,,
4.617771982,0.100464394,80,"(800, 800)",1.352470326
,,,,
4.604573954,0.075445426,94,"(800, 900)",3.095996065
,,,,
4.592003115,0.10122259,78,"(800, 800)",1.587609139
,,,,
4.579763603,0.075445426,95,"(800, 900)",3.533493442
,,,,
4.567045301,0.09755648,79,"(800, 800)",2.893004719
,,,,
4.555505144,0.072712921,92,"(800, 900)",2.456757225
,,,,
4.542546979,0.100288432,79,"(800, 800)",2.509775729
,,,,
4.529532183,0.074749159,97,"(800, 900)",2.36884428
,,,,
4.517679997,0.097513178,79,"(800, 800)",3.520083392
,,,,
4.504922164,0.072680646,95,"(800, 900)",1.74209914
,,,,
4.493272508,0.097513178,77,"(800, 800)",2.999498755
,,,,
4.480626372,0.070790665,97,"(800, 900)",2.723418786
,,,,
4.467889403,0.094977454,80,"(800, 800)",1.642667763
,,,,
4.456682139,0.076096702,97,"(800, 900)",4.594298699
,,,,
4.443318914,0.102096385,83,"(800, 800)",1.560539527
,,,,
4.431816722,0.07186108,92,"(800, 900)",3.595746733
,,,,
4.418508563,0.096413594,87,"(800, 800)",1.982701905
,,,,
4.407080103,0.07186108,96,"(800, 900)",4.305721508
,,,,
4.392168507,0.095466416,83,"(800, 800)",2.615295624
,,,,
4.378858783,0.071155109,95,"(800, 900)",2.309669507
,,,,
4.366932865,0.095052935,83,"(800, 800)",2.499445221
,,,,
4.354212997,0.070846924,92,"(800, 900)",3.195054684
,,,,
4.340536178,0.099010179,79,"(800, 800)",0.677019429
,,,,
4.32807547,0.073796423,93,"(800, 900)",3.604441963
,,,,
4.316979271,0.102027842,77,"(800, 800)",1.102989834
,,,,
4.305034687,0.076045613,94,"(800, 900)",2.950248321
,,,,
4.291560398,0.102027842,78,"(800, 800)",2.724224591
,,,,
4.279946509,0.072290733,94,"(800, 900)",1.955382723
,,,,
4.267117141,0.096990045,77,"(800, 800)",3.398051139
,,,,
4.253105865,0.073231082,95,"(800, 900)",3.555912091
,,,,
4.23994517,0.098251679,77,"(800, 800)",1.676595485
,,,,
4.229106566,0.073788109,91,"(800, 900)",2.855409904
,,,,
4.21651706,0.098999025,80,"(800, 800)",3.507054389
,,,,
4.203685496,0.073788109,96,"(800, 900)",2.276828723
,,,,
4.19072733,0.096224492,85,"(800, 800)",1.794784708
,,,,
4.178119158,0.071720135,98,"(800, 900)",5.282647081
,,,,
4.164553405,0.100583379,85,"(800, 800)",0.834476455
,,,,
4.151650305,0.074968995,88,"(800, 900)",2.657662325
,,,,
4.139724387,0.095252271,72,"(800, 800)",2.437646196
,,,,
4.128036767,0.070995498,95,"(800, 900)",1.725033301
,,,,
4.115207399,0.095252271,80,"(800, 800)",2.243660787
,,,,
4.103077386,0.071059792,95,"(800, 900)",3.235526217
,,,,
4.09058028,0.095338532,87,"(800, 800)",2.530060142
,,,,
4.078302803,0.071192096,97,"(800, 900)",3.680600112
,,,,
4.065437036,0.095516041,78,"(800, 800)",2.132402833
,,,,
4.053380756,0.071346512,94,"(800, 900)",3.161412821
,,,,
4.039703937,0.095723216,80,"(800, 800)",1.499638877
,,,,
4.027980549,0.071346512,96,"(800, 900)",3.166117465
,,,,
4.013640142,0.098744146,81,"(800, 800)",1.471505382
,,,,
4.00287527,0.073598138,94,"(800, 900)",2.382555058
,,,,
3.988958589,0.096734743,81,"(800, 800)",2.268818018
,,,,
3.97660738,0.072100446,98,"(800, 900)",4.31253375
,,,,
3.000233316,0.805472187,7,"(500, 500)",14023.37367
,,,,
4.436986007,0.100115566,78,"(800, 800)",84.49434802
,,,,
4.27033536,0.068506097,98,"(800, 900)",14.02144447
,,,,
4.252882345,0.091912325,81,"(800, 800)",2.92223143
,,,,
4.241342188,0.074209371,96,"(800, 900)",2.619353795
,,,,
4.228973879,0.099564217,78,"(800, 800)",2.624947863
,,,,
4.217286259,0.074822294,96,"(800, 900)",3.414034629
,,,,
4.205600204,0.100386555,78,"(800, 800)",2.083180523
,,,,
4.193912583,0.073019534,93,"(800, 900)",2.159870963
,,,,
4.181912934,0.097967853,76,"(800, 800)",2.319195552
,,,,
4.169193066,0.074603316,93,"(800, 900)",2.7726813
,,,,
4.15697222,0.10009276,81,"(800, 800)",2.317307387
,,,,
4.144768476,0.074603316,95,"(800, 900)",2.704690314
,,,,
4.13291629,0.101002563,81,"(800, 800)",2.251151932
,,,,
4.121892258,0.07528143,94,"(800, 900)",3.455261242
,,,,
4.109321419,0.099595614,76,"(800, 800)",2.314370385
,,,,
4.097560067,0.074232773,96,"(800, 900)",3.074638605
,,,,
4.085210424,0.100880066,82,"(800, 800)",1.213603389
,,,,
4.07252852,0.075190128,93,"(800, 900)",3.131855112
,,,,
4.058556773,0.100880066,77,"(800, 800)",1.185952276
,,,,
4.046464725,0.071059792,92,"(800, 900)",2.768973178
,,,,
4.03276924,0.095338532,82,"(800, 800)",3.007215979
,,,,
4.019716479,0.074458041,92,"(800, 900)",1.311805587
,,,,
4.007034575,0.099897849,83,"(800, 800)",2.114456194
,,,,
3.993798583,0.076012232,96,"(800, 900)",4.008821928
,,,,
3.979698038,0.101983056,75,"(800, 800)",0.565008592
,,,,
2.995166573,0.536981458,10,"(500, 500)",415.991129
,,,,
3.961225708,0.101679855,79,"(800, 800)",14.47857955
,,,,
2.996815635,0.31552227,30,"(300, 500)",394.177388
,,,,
4.386839794,0.096777356,80,"(800, 800)",21.4810137
,,,,
4.350390302,0.073473228,96,"(800, 900)",24.67890009
,,,,
4.340415324,0.097032883,82,"(800, 800)",6.065307972
,,,,
4.334920786,0.072322662,97,"(800, 900)",80.21349216
,,,,
4.319277371,0.093704512,80,"(800, 800)",4123.87552
,,,,
3.176044803,0.53471184,18,"(500, 400)",186.1326634
,,,,
4.78372151,0.747046549,9,"(500, 500)",7580.718625
,,,,
4.67535144,0.377066577,29,"(300, 500)",9.653338504
,,,,
4.661773629,0.535129041,12,"(400, 500)",4414.048978
,,,,
3.999848434,0.099352644,81,"(800, 800)",1866.930344
,,,,
3.019855752,0.263917997,54,"(300, 300)",3284.198538
,,,,
4.678761732,0.519279706,18,"(500, 400)",14908.33516
,,,,
4.071307649,0.693597731,7,"(500, 500)",54594.27841
,,,,
5.367080626,0.148171959,65,"(200, 700)",2107.622923
,,,,
7.468426299,0.727533012,7,"(500, 500)",15926.5737
,,,,
5.40600459,0.421395786,31,"(300, 500)",291.6404023
,,,,
4.832002665,0.329277767,40,"(300, 600)",1.790331569
,,,,
4.825005797,0.424672249,31,"(300, 500)",274.7777018
,,,,
4.49812628,0.523455384,19,"(500, 400)",7245.183224
,,,,
5.002400402,0.331267165,38,"(300, 600)",55.70760334
,,,,
4.97601509,0.44488365,33,"(300, 500)",38.53400638
,,,,
4.762784476,0.322780971,37,"(300, 600)",1.82420642
,,,,
4.738763164,0.421936243,30,"(300, 500)",280.9302374
,,,,
5.184751277,0.71859384,8,"(500, 500)",2512.697479
,,,,
4.388409961,0.326630678,39,"(300, 600)",3.987548128
,,,,
4.374413615,0.415437816,31,"(300, 500)",281.5090842
,,,,
4.543956171,0.570268215,12,"(500, 600)",100.2361377
,,,,
4.443574522,0.700593507,7,"(500, 500)",14644.32878
,,,,
3.855301743,0.099286425,80,"(800, 800)",2122.523131
,,,,
4.615778676,0.248063099,56,"(300, 300)",167.5840731
,,,,
4.505351271,0.467013516,18,"(500, 400)",7660.942375
,,,,
4.417777163,0.333130489,39,"(300, 600)",61.87376849
,,,,
5.065620575,0.439687306,32,"(300, 500)",277.8220768
,,,,
4.352497345,0.250685077,56,"(300, 300)",2.841886903
,,,,
4.327926518,0.542690722,19,"(500, 400)",5260.722852
,,,,
4.105410591,0.31803809,36,"(300, 600)",39.74555891
,,,,
4.214432149,0.441464645,35,"(300, 500)",2942.796052
,,,,
4.349478244,0.524656066,13,"(500, 600)",760.2105149
,,,,
4.624993376,0.547980661,19,"(500, 400)",5536.283755
,,,,
4.368057125,0.327587265,39,"(300, 600)",11.85026925
,,,,
4.349088679,0.426707652,30,"(300, 500)",70.87901172
,,,,
4.330013265,0.149674767,63,"(200, 700)",2100.678788
,,,,
4.538677567,0.819615489,9,"(500, 500)",6062.530685
,,,,
3.907564001,0.096707439,80,"(800, 800)",3638.86682
,,,,
3.720655719,0.257071875,53,"(300, 300)",24.95167082
,,,,
5.189356943,0.541778449,18,"(500, 400)",170.1197486
,,,,
2.969059523,0.302206575,38,"(300, 600)",1865.249981
,,,,
4.256922744,0.532776987,20,"(500, 400)",11802.52779
,,,,
3.34050946,0.574359763,8,"(500, 600)",3596.28381
,,,,
3.856571044,0.248373955,55,"(300, 300)",69.5855216
,,,,
3.825742714,0.48316342,23,"(500, 400)",15322.77106
,,,,
4.514404064,0.252809204,54,"(300, 300)",73.95696646
,,,,
5.569192132,0.541574979,22,"(500, 400)",6824.765844
,,,,
4.409141265,0.249403046,56,"(300, 300)",3.140337833
,,,,
4.375791491,0.542623432,19,"(500, 400)",7180.302379
,,,,
4.422347914,0.599865524,11,"(500, 600)",2294.594527
,,,,
4.158214773,0.249213623,56,"(300, 300)",5.894778916
,,,,
4.123550603,0.510794878,21,"(500, 400)",2094.440139
,,,,
4.089940808,0.564937087,13,"(500, 600)",1745.497495
,,,,
4.622234437,0.24530002,55,"(300, 300)",46.50209884
,,,,
3.993821881,0.604946852,18,"(500, 400)",11380.42202
,,,,
3.655314886,0.312282388,37,"(300, 600)",5692.564789
,,,,
2.676482043,0.546274285,17,"(500, 400)",28.65540609
,,,,
4.315243773,0.588943148,10,"(500, 600)",13238.57884
